state,year,name,value
ohio,2012,rep_votes,2661437
ohio,2012,dem_votes,2827709
ohio,2012,total_votes,5580847
oklahoma,2012,rep_votes,891325
oklahoma,2012,dem_votes,443547
oklahoma,2012,total_votes,1334872
oregon,2012,rep_votes,754175
oregon,2012,dem_votes,970488
oregon,2012,total_votes,1789270
pennsylvania,2012,rep_votes,2680434
pennsylvania,2012,dem_votes,2990274
pennsylvania,2012,total_votes,5753670
rhode island,2012,rep_votes,157204
rhode island,2012,dem_votes,279677
rhode island,2012,total_votes,446049
south carolina,2012,rep_votes,1071645
south carolina,2012,dem_votes,865941
south carolina,2012,total_votes,1964118
south dakota,2012,rep_votes,210610
south dakota,2012,dem_votes,145039
south dakota,2012,total_votes,363815
tennessee,2012,rep_votes,1462330
tennessee,2012,dem_votes,960709
tennessee,2012,total_votes,2458577
texas,2012,rep_votes,4569843
texas,2012,dem_votes,3308124
texas,2012,total_votes,7993851
utah,2012,rep_votes,740600
utah,2012,dem_votes,251813
utah,2012,total_votes,1017440
vermont,2012,rep_votes,92698
vermont,2012,dem_votes,199239
vermont,2012,total_votes,299290
virginia,2012,rep_votes,1822522
virginia,2012,dem_votes,1971820
virginia,2012,total_votes,3854489
washington,2012,rep_votes,1290670
washington,2012,dem_votes,1755396
washington,2012,total_votes,3125516
west virginia,2012,rep_votes,417655
west virginia,2012,dem_votes,238269
west virginia,2012,total_votes,670438
wisconsin,2012,rep_votes,1407966
wisconsin,2012,dem_votes,1620985
wisconsin,2012,total_votes,3068434
wyoming,2012,rep_votes,170962
wyoming,2012,dem_votes,69286
wyoming,2012,total_votes,249061
